a,b,y
"It is roughly southeast of Moosehead Lake , 2 miles southwest of Baker Mountain and 5 km west of White Cap Mountain .","It is located southeast of White Cap Mountain , 2 miles southwest of Baker Mountain and 5 miles west of Moosehead Lake .",0
"Tabda , also known as Tabto , is a town in the southern Jubbada Hoose ( Lower Juba ) region of Somalia .","Tabda , also known as Tabto , is a city in the southern Jubbada Hoose ( Lower Juba ) region of Somalia .",1
"Andrea Bocelli called her rehearsal performance `` very nice '' , and David Foster called her voice spectacular .","Andrea Andrea Bocelli called her sample performance `` very nice '' , and David Foster called her voice spectacular .",1
"Neptunea alexeyevi is a species of sea snail , a true gastropod mollusk in the Buccinidae family , the whelks navy .","Neptunea alexeyevi is a species of sea snail , a true gastropod mollusk in the family Buccinidae , the marine whelks .",1
"Younessi has a child , a son named Dariyan Rodin Younessi , who started his racing career at Karting at the age of four .","Dariyan Rodin Younessi has a child , a son called Younessi , who started his racing career with Karting at the age of four .",0
He was admitted to the New York bar in 1949 and commenced practice in New York City .,"In 1949 , he was admitted to the New York City Bar Association and began practice in New York .",1
"Crocker moved from Natchez , Mississippi to Vidalia , the headquarters of the Concordia Parish , and crossed the lower Ouachita in the section called Black River .","Crocker moved from Natchez , Mississippi to Vidalia , the seat of Concordia Parish , and crossed toward the lower Ouachita in the section called the Black River .",1
"The indigenous people of Chichigalpa were of Toltec origin , the Niquiranos and Chorotegas .","Of native origin , the Toltec people of Chichigalpa were the Niquiranos and Chorotegas .",0
"Based on the city of Baltimore , only mentioned , has never visited in the show .","Based on the city of Baltimore , never visited , only mentioned in the show .",1
The Lotriorul River is a tributary of the River Priporul in Romania .,The Priporul River is a tributary of the Lotriorul River in Romania .,0
The river Cârlibaba is a tributary of the River Tătarca in Romania .,The Tătarca River is a tributary of the Cârlibaba River in Romania .,0
"Mahoning Creek is a tributary of the Lehigh River in the Schuylkill and Carbon - County , Pennsylvania , in the United States .","Lehigh River is a tributary of the Mahoning Creek in the Schuylkill and Carbon Counties , Pennsylvania , in the United States .",0
"The Croatian variant is played counter-clockwise , while in Montenegro the order is used clockwise .","The Croatian variant is played clockwise , while in Montenegro the order is used counter-clockwise .",0
"The Joint Typhoon Warning Center also recognized Hagupit as the 11th Typhoon Typhoon , 16th Tropical Storm and 18th Tropical Depression of the Pacific Typhoon Season 2008 .","The Joint Typhoon Warning Center have also recognised Hagupit as the 11th typhoon,18th tropical storm , and the 16th tropical depression of the 2008 Pacific typhoon season .",0
"Where codice _ 3 is a type qualifier , which the unqualified type of codice _ 27 is codice _ 28 and the qualified type is codice _ 29 .","codice 3 is a type qualifier with the unqualified type of codice 27 codice 28 , which is the qualified type codice 29 .",1
"Some Hebrew and Aramaic abbreviations may not be included here , and others may be found in the list of Aramaic abbreviations or the list of Hebrew abbreviations .","Some Hebrew and Aramaic abbreviations may not be included here , and more can be found in the list of Hebrew abbreviations or in the list of Aramaic abbreviations .",1
"The mounting has a tripod , but the front leg is a castering wheel .","The mounting is a tripod , but the front leg has a steering wheel .",0
"In the early days , family life was long : water and firewood had to be brought by hard .",Family life was long in the early days . Both water and firewood had to be brought from hard .,1
"22.0 % were of German , 20.5 % Irish , 16.4 % Polish , 8.9 % Italian and 7.8 % English ancestry according to Census 2000 .","22.0 % were German according to the 2000 census , 20.5 % Irish , 16.4 % Polish , 8.9 % Italian and 7.8 % of English descent .",1
He acted as honorary consul in Adelaide for Sweden for 17 years .,He worked for Adelaide for 17 years as Honorary Consul in Sweden .,0
"Written by Michelle MacLaren and directed by George Mastras , broadcast on AMC in the United States and Canada on 8 September 2013 .","Written by George Mastras and directed by Michelle MacLaren , aired on AMC in the United States and Canada on 8 September 2013 .",0
"When Justice Tyler died in 1813 , John Tyler inherited Greenway at the age of 23 .","When Justice John Tyler died in 1813 , Tyler inherited Greenway at the age of 23 .",0
He was governor of Bihar from 3 March 1989 to 2 February 1990.He served as the governor of Haryana from 27 July 2009 to 26 July 2014 .,"From 3 March 1989 to 2 February 1990 , he was Governor of Bihar , from July 27 , 2009 to July 26 , 2014 , as Governor of Haryana .",1
"Gérard Depardieu was born to a wealthy Parisian family and married Lucie Guignot , Élisabeth Dominique , on February 19 , 1970 .",Élisabeth Dominique Lucie Guignot was born to a well-off Parisian family and married Gérard Depardieu on 19 February 1970 .,0
"AB InBev remains the largest brewery , second with SABMiller and Heineken International in third place .","AB InBev remains the largest brewery , with Heineken International second , and SABMiller third .",0
"The song was written by Thicke and Lamar alongside will.i.am , and produced by Dr. Luke and Cirkut .",The song was written by Thicke and Lamar together with Dr. Luke and produced by will.i.am and Cirkut .,0
"Kurt Hummel ( Chris Colfer ) , a former member of New Directions , attends the concert , accompanied by his friend Blaine Anderson ( Darren Criss ) .","Former New Directions member Blaine Anderson ( Chris Colfer ) attends the concert , accompanied by his boyfriend Kurt Hummel ( Darren Criss ) .",0
"The Fighter Escadrille was a unit of the Polish Air Force at the beginning of the Second World War , which was attached to the Łódź army .",162 . Fighter Escadrille was a unit of the Łódź Army at the start of the Second World War . The unit was attached to the Polish Air Force .,0
"In 1763 , Walter succeeded his 7th cousin Walter Aston , childless Lord Aston of Forfar , in the peerage of Scotland .","In 1763 , Walter followed his childless national cousin Walter Aston , 7th Lord Aston of Forfar , as Lord Aston of Forfar in the Peerage of Scotland .",0
CUTA has five national and regional committees .,The CUTA has five national and five regional committees .,1
Family life was long in the early days . Both water and firewood had to be brought from hard .,"In the early days , family life was a long one : water and firewood had to be brought from hard .",1
"The Los Angeles County Department of Health Services operates the Torrance Health Center in Harbor Gateway , Los Angeles , near Torrance , and serves Rolling Hills .","The Los Angeles County Department of Health Services operates the Torrance Health Center in Torrance , near Harbor Gateway , Los Angeles and serving Rolling Hills .",0
"Make Me Rich , Make Me Famous","Make me famous , Make me",0
"It was located around a pond in Tokunoshima of Isen Town , after which `` kamuiyaki '' was named .","It was located around a pond in Isen city of Tokunoshima , after which `` kamuiyaki '' was named .",0
"The first amber tournament was held in Monaco in 2011 , as were the 20th Amber Tournament .","The 20th Amber Tournament was held in Monaco in 2011 , as well as the first amber tournament .",0
The music for the film is composed by Bijibal and by Nadirsha as a background score .,"The music for the film is composed by Bijibal , and background score by Nadirsha .",1
These include replicas at Ramat Shlomo in Jerusalem and in Kfar Chabad in Israel .,These include replicas in Ramat Shlomo in Jerusalem and Kfar Chabad in Israel .,1
"In Nairobi , there are large occupying communities , such as Kibera in Kenya .","In Kenya , there are large occupying communities , such as Kibera in Nairobi .",0
"In July 1962 , the 4364th Support Squadron was activated at Mountain Home and assigned to the division , but attached to the 9th wing .","In July 1962 , the 4364th support squadron was activated in Mountain Home and allocated to the division , but assigned to the 9th wing .",1
The citizens rejected the Burgundian bishop and the new influence that led to the Liège wars was exiled to Maastricht by Louis .,"The citizens rejected the new bishop and the Burgundian influence , which led to the Liège Wars . Louis was exiled to Maastricht .",0
"A few years later , after Obasanjo died and General Abdulsalami Abubakar took power , General Abacha was released and pardoned .","A few years later , General Obasanjo was released and pardoned after Abacha died and after General Abdulsalami Abubakar took over power .",0
This radioactive heavier isotope can be new ( stable or unstable ) depending on the chemical element involved .,This heavier radioactive isotope may be new depending on the chemical element ( stable or unstable ) .,1
"The destroyer was ordered inactivated in 1922 ; and , on 12 April , entered the Philadelphia Navy Yard where she was decommissioned on 17 July 1922 .","The destroyer was defeated in 1922 and entered on 12 April in the Philadelphia Navy Yard , where she was inactivated on 17 July 1922 .",0
This North American East Hour series was broadcast from 22 May to 10 July 1966 on Sundays at 3 : 00 p.m. ( half time ) .,This half-hour series was broadcast from 22 May to 10 July 1966 on Sundays at 3 p.m. ( East North American Time ) .,0
"Diamonds and Batts lost the match after Sabin Batts held him , and he did not join the diamond .","Diamond and Batts lost the match after Sabin pinned Batts , and he did not join the Diamonds .",1
Then Scott and Short traveled overland to the Kentucky River to claim the land that they would later investigate .,Scott and Short then traveled overland to the Kentucky River to claim the land they would later examine .,1
"Route 130 leads north to Olney and east to Grayville , while Route 15 leads to the west of Fairfield and south to Mount Carmel .","Route 130 leads north to Olney and south to Grayville , while Route 15 to the east leads to Mount Carmel and west to Fairfield .",0
The river Buzăiel is a tributary of the River Tătaru in Romania .,The Tătaru River is a tributary of the Buzăiel River in Romania .,0
"This victory repeated in an Opel Astra in 2003 this victory with Reuter , Marcel Tiemann , Volker Strycek and Timo Scheider .","This victory repeated in an Opel Astra in 2003 this victory with Reuter , Timo Scheider , Volker Strycek and Marcel Tiemann .",1
"Hartman created the recording board for the sessions produced by Johnny Winter , on which the album `` I 'm Ready '' was ran .","Hartman ran the recording board for the sessions , produced by Johnny Winter , which created the album `` I 'm Ready '' .",0
"He fought Mike Donovan in a struggle led by a young 21-year-old Wyatt Earp on 4 July 1868 or 1869 in Cheyenne , Wyoming .","He fought Wyatt Earp in a bout refereed by a young 21-year-old Mike Donovan on July 4 , 1868 or 1869 in Cheyenne , Wyoming .",0
The river Lotriorul is a tributary of the River Priporul in Romania .,The Priporul is a tributary of the Lotriorul in Romania .,0
Most of the series produced by CBS films before 1976 or distributed by Paramount Television were later distributed by Viacom and CBS .,Most of the series produced by CBS or distributed by CBS films before 1976 were later distributed by Viacom and Paramount Television .,0
"He received formal koan study in 1988 with Yamada Koun and completed the dharma name Tetsu-un , `` Wisdom Cloud '' .","He received a formal koan in 1988 - studied with Yamada Koun and completed the Dharma name Tetsu-un , `` Wisdom - Cloud '' .",1
"During the era between 1836 and 1846 , when Mexico was a province of independent Napa County , the following 13 ranchos were granted in California :","During the period between 1836 and 1846 , when Mexico was a province of independent Napa County , the following 13 ranchos were given in California :",1
"Under his direction , the choir also gave concert tours in Australia ( 1987 ) , Israel ( 1988 ) and Estonia ( 1989 , 1990 ) .","The choir also gave concert tours in Israel ( 1987 ) , Australia ( 1988 ) , and Estonia ( 1989 , 1990 ) under his leadership .",0
"On October 11 , 2007 , Naito defeated Daiki Kameda by unanimous decision for the first defense of his WBC and lineal titles .","On October 11 , 2007 , Naito defeated Daiki cameda by unanimous decision for the first defense of his WBC and lineal title .",1
"In May 2012 , Broun decided he would not challenge Collins .","In May 2012 , Collins decided that he would not challenge Broun .",0
"His parents were William Henry Harman and Sally ( Garber ) Harman , who was born in Waynesboro , Virginia , February 17 , 1828 .","William Henry Harman was born in Waynesboro , Virginia on February 17 , 1828 . His parents were Lewis and Sally ( Garber ) Harman .",0
"Hine was born in New Westminster , British Columbia in 1936 and grew up in Burnaby .","Hine was born in 1936 in Burnaby and grew up in New Westminster , British Colombia .",0
"The countries currently on the list are Iran , North Korea , Sudan , and Syria .","Currently , the countries on the list are Iran , North Korea , Sudan and Syria .",1
"For Mead , unlike John Dewey and J. J. Gibson , however , the key is not just human action , but social action .","However , for Mead , unlike John Dewey and J. J. Gibson , the key is not simply social action , but rather human action .",0
"He was also a nephew of Elise Hambro , a brother of Cato , Carl Joachim and Johan Hambro , and from 1946 a stepson of Gyda Christensen .","He was also a nephew of Elise Hambro , a brother of Cato , Carl Joachim and Johan Hambro , and from 1946 Stepson of Gyda Christensen .",1
"The Grand Marquis LSE , introduced in the spring of 2001 , had a rear air suspension , the higher rear axle translation and the 4.6 litre dual exhaust engine .","Introduced in the Spring of 2001 , the Grand Marquis LSE had rear air suspension , the higher rear axle ratio and the dual exhaust 4.6 L engine .",1
"In 1917 Johnson managed `` Jack Johnson 's Topeka Giants , '' a team that played at least one game against the All Nations base ball club .","In 1917 , Jack Johnson headed Johnson 's Topeka Giants '' , a team that played at least one game against the All Nations Base Ball Club .",0
"John Benezet was a native of Philadelphia , the son of Daniel Benezet , a prominent Philadelphia merchant .","John Benezet was a native of Philadelphia and the son of Daniel Benezet , a prominent Philadelphia merchant .",1
"BBC South East is the BBC English region serving Kent , West Sussex , part of East Sussex and a small part of Surrey .","BBC South East is the English region of the BBC , serving Kent , West Sussex , part of East Sussex and a small part of Surrey .",1
Crash Landed was released in Japan as the second single in July 2009 and Korea as the third single in April 2010 .,Crash Landed was published in Korea in July 2009 as the third single and in April 2010 as the second single in Japan .,0
"The flag of Kenya of 1963 is similar , but has inserted white lines between colors .","The flag of Kenya of 1963 is white , but has similar lines inserted in between the colors .",0
Richmond Cricket Club was based in Richmond ( historically part of Surrey and now in London ) and was a leading club during the 18th century .,Richmond Richmond Cricket Club was in Richmond ( historically part of Surrey and now in London ) and was a leading club during the 18th century .,1
"Mendota is a former settlement located in Fresno County , California , north of Warsaw , near the Pueblo de las Juntas .",It is a former settlement in the Fresno county of California you was located north of Mendota near the site of Pueblo de Las Juntas .,0
"Elwood Cohn was born on March 3 , 1922 in San Jose , Costa Rica , to Montealegre Clemencia Carazo and Felicia Cohn Montealegre .","Felicia Cohn Montealegre was born on 3rd March 1922 in San Jose , Costa Rica to Clemencia Montealegre Carazo and Roy Elwood Cohn .",0
"Jeppe Tengbjerg ( born December 28 , 1973 ) is a Danish football manager and former football player .",Jeppe Tengbjerg ( born 28 December 1973 ) is a former football manager and Danish football player .,0
"Christie also translated into English the biography of Francisco Sabate Llopart , `` Sabate : An Extraordinary Guerrilla '' , by Antonio Téllez Solá .","Sabate has also translated the biography of Francisco Sabate Llopart , `` Christie : An extraordinary guerrilla '' , by Antonio Téllez Solá in English .",0
Parallel totally antisymmetric torsion .,Totally parallel antisymmetric torsion .,1
"The occupation includes Ashwini Bhave , Nilu Phule , Sulabha Deshpandey , Savita Prabhune , Ashok Saraf , Vikram Gokhale , Raja Mayekar , Chandu Parkhi , and","The cast includes Ashok Saraf , Vikram Gokhale , Savita Prabhune , Ashwini Bhave , Nilu Phule , Sulabha Deshpandey , Raja Mayekar , chandu parkhi ,",1
The fate of the German prisoners of war in the Soviet Union was little better ; more than half a million died in terrible conditions in the Soviet camps .,"The fate of the Soviet prisoners of war in the Soviet Union was little better , with more than half a million died in terrible conditions in the German camps .",0
`` The Woman King '' is the third episode of the fourteenth season from the Science - Fiction series '' Battlestar Galactica `` .,`` The Woman King '' is the fourteenth episode of the third season from the science fiction television series `` Battlestar Galactica '' .,0
"The Aube has 365 historical monuments , 144 of which are classified and 221 are registered .","The Aube has 365 historical monuments of which 144 are classified , and 221 are enrolled .",1
He has described the `` deep state '' as a `` Shadow Government '' and `` Deep state swamp of Obama holdovers and DC lifers '' .,He has described the `` Deep State '' as '' Shadow Government `` and the Deep State Swamp of Obama Holdovers and DC Lifers '' .,1
"Such a distorted peptide , or `` modified key `` , will automatically become an inhibitor candidate against HIV protease .",Such a distorted peptide or `` modified key '' becomes an inhibitor candidate against HIV protease automatically .,1
"Iva Majoli won the title by defeating Mary Pierce in the final with 6 : 4 , 6 : 4 .","Mary Pierce won the title by victory against Iva Majoli 6 -- 4 , 6 -- 4 in the final .",0
"Chabrian Jattan is a village in the Mirpur Tehsil of Azad Kashmir of Mirpur District , Pakistan .",Chabrian Jattan is a village in Mirpur Tehsil by Azad Kashmir in the Mirpur district of Pakistan .,1
Polokce is a village situated in Serbia municipality in Novi Pazar .,Polokce is a village in Novi Pazar municipality in Serbia .,0
She sailed over Rio de Janeiro and arrived in Sydney on September 14 .,She sailed over Sydney and arrived on 14 September in Rio de Janeiro .,0
"InFocus M810 is a smartphone marketed by InFocus and manufactured by Foxconn . It was released on July 31 , 2014 .","InFocus M810 is a smartphone distributed by InFocus and manufactured by Foxconn . It was released on July 31 , 2014 .",1
"We find the following local object telegraphed to the Republican fayette from Cedar Rapids , March 6 , 1885 .","`` We find the following local item telegraphed to the Cedar Rapids Republican from Fayette , March 6 , 1885 .",0
He was born in Quebec around 1760 and settled in Detroit ( then part of Scotland ) in 1782 .,He was born in Québec around 1760 and settled in Detroit in 1782 ( then a part of Scotland ) .,1
He lives with a humble and single ambition : to dominate the world ( the whole planet ) .,He lives with a single and `` humble '' ambition : to master the world ( the whole planet ) .,1
"Guido Reni , also known as the Marchino di Marco Bandinelli , was an Italian baroque painter .","Marco Marco Bandinelli , also known as the Marchino di Guido Reni , was an Italian baroque painter .",0
"`` Thomas Joseph Mboya was a very good friend and confidante of Eric '' , words of third Kenyan President Mwai Kibaki during the funeral of Khasakhala .","`` Eric was a very good friend and confidante of Thomas Joseph Mboya '' , words of the 3rd Kenyan president , Mwai Kibaki , during Khasakhala 's funeral .",0
Lake Sammamish enters the Issaquah Creek park .,Issaquah Creek enters Lake Sammamish in the park .,0
"In 2009 , the Single Signing Framing Hanley received the Silent Majority Group a gold certification for their first `` Lollipop '' .","In 2009 , the first signing of Silent Majority Group Framing Hanley received a gold certification for their single `` Lollipop '' .",0
"When the police made the discovery , Latimer admitted responsibility but later denied he had killed her .","When the police made the discovery , Latimer denied the responsibility , but later admitted that he had killed her .",0
"He died in his home in Bridgeton on July 23 , 1942 , and is buried in the Old Broad Street Presbyterian Church and Cemetery in Trenton .","He died in his home in Trenton on July 23 , 1942 , and is buried in the Old Broad Street Presbyterian Church and Cemetery in Bridgeton .",0
It was also produced by Nancy Sinatra in 1966 on her album `` Boots '' and PP Arnold produced once again by Andrew Loog Oldham in 1970 .,"It was also covered by PP Arnold in 1966 , on her album `` Boots '' and Nancy Sinatra in 1970 , once again produced by Andrew Loog Oldham .",0
The hurricane indirectly killed a person and killed two directly in the state .,The hurricane directly killed one person and indirectly killed two in the state .,0
"In Ngapoi , Ngapoi Ngawang Jigme `` , for example , was his family name and '' Nga - Wang Jigmê `` his personal name .","For example , in Ngapoi Ngawang Jigme , `` Ngapoi '' was his family name and `` Nga-Wang Jigmê '' his personal name .",0
San Pedro Springs Park is located in the town of Bexar County San Antonio in the U.S. state of Texas .,San Pedro Springs Park is located in the city of San Antonio des Bexar County in the US state of Texas .,0
"InFocus M810 is a smartphone manufactured by InFocus and marketed by Foxconn . It was released on July 31 , 2014 .","InFocus M810 is a smartphone manufactured by InFocus and marketed by Foxconn , which was released on July 31 , 2014 .",1
"Adult birds have black bodies with a white wing patch , a thin dark bill , and red legs and feet .","Adult birds have white bodies with a black spot , a thin dark bill and red legs and feet .",0
"Carlos Robacio , BIM5 commander , was awarded to the Argentine nation by the Valour in Combat Medal , and the Bataillon itself was awarded the Argentine Congress in 2002 .","Carlos Robacio , BIM5 commander , was decorated the Argentine Nation to the Valour in Combat Medal and the battalion itself was awarded by the Argentine Congress in 2002 .",0
"For example , the National Civic League ( originally the National Municipal League ) promotes effective local government management .","For example , the National Civic League ( originally the National Municipal League ) promotes effective municipal management .",1
"Spartanburg is included in the Metropolitan Statistical Area Greenville , which is also included in the Union County -- Spartanburg , SC -- Anderson , SC Combined Statistical Service .","Union County is included in the Spartanburg , SC Metropolitan Statistical Area , which is also included in the Greenville -- Spartanburg -- Anderson , SC Combined Statistical Area .",0
April 9 : RHP Ben Rowen and C Brian Ward traded to Los Angeles Dodgers for RHP Ryan Webb and C Chris O'Brien .,April 9 : RHP Ben Rowen and C Brian Ward traded to Los Angeles Dodgers for RHP Ryan Webb and C Chris O 'Brien .,1
"The electric field is scalar , and hence can be described by a conservative potential , `` V '' ( r ) :",The electric field is conservative and can therefore be described by a scalar potential `` V '' ( r ) :,0
"In 1720 he returned to Kaufbeuren , but became Prime Minister of Augsburg in 1723 .","He returned to Kaufbeuren in 1720 , but became parish minister of Augsburg in 1723 .",0
"Between 1937 and 1957 , Squadron was a unit of the British Auxiliary Air Force and later of the Royal Auxiliary Air Force .",615 ( County of Surrey ) Squadron was a unit of the British Royal Auxiliary Air Force and later the Auxiliary Air Force between 1937 and 1957 .,0
He is a specialist in contemporary music and Baroque music .,He is specialist in contemporary music and baroque music .,1
Herochroma perspicillata is a kind of moth of the family Geometridae It is found in China ( Yunnan ) .,Herochroma perspicillata is a species of moth of the family Geometridae . It is found in Yunnan ( China ) .,1
"To find out the last two letters the group had two portraits of a hermit and although they appeared identical , they found several differences .","To find out the last two letters , the group found two portraits of a hermit , and although they looked identical , they had some differences .",0
"John M. Work was born January 3 , 1869 , in rural Iowa in Southeastern Washington County , the son of John H. Work , a farmer .","John M. Work was born on 3 January 1869 in rural Iowa in southeastern Washington County , son of John H. Work , a farmer .",1
The Kettleby Public School serves the community for children of high school age . King City Secondary School is the closest elementary school to the municipality .,"The Kettleby Public School serves the community for children of high school age , the King City Secondary School is the nearest elementary school .",1
"2011-DGSE Bullion Express concept is introduced , new store opened in Dallas , Texas in Preston Center .","Bullion Express - concept is being introduced new store in Dallas , Texas in Preston Center opened .",1
"The following schools are located in Papakura ( schools at Rosehill , Takanini and Opaheke are excluded ) :","The following schools are located at Takanini ( schools in Rosehill , Papakura and Opaheke are excluded ) :",0
"Democrat Rob Robb , the incumbent , ran for a third term , but lost to Republican George Allen .","Incumbent Democrat Chuck Robb ran for a third term , but lost to Republican George Allen .",1
"The manuscript was bought by Edward Everett of Constantinople to America in 1819 , together with six other manuscripts ( Lectionary 296 , Lectionary 297 , Lectionary 298 ) .","The manuscript was bought in 1819 by Edward Everett from Constantinople to America , along with six other manuscripts ( Lectionary 296 , Lectionary 297 , Lectionary 298 ) .",1
"The 8 Talukas of this area are Devgad , Kankavli , Malvan , Kudal , Sawantwadi , Vengurla and Dodamarg and Vaibhavwadi .","The 8 Talukas in this district are Devgad , Kankavli , Vengurla , Kudal , Sawantwadi , Malvan and Dodamarg and Vaibhavwadi .",1
"Surrounding suburbs are ( from north to south ) : Balgownie , West Wollongong , Mount Ousley , Mount Pleasant , Keiraville , Figtree and Mount Kembla .","Surrounding suburbs are ( from the north to the south ) : Balgownie , Mount Pleasant , Mount Ousley , Keiraville , West Wollongong , Figtree and Mount Kembla .",1
The continuous power density is determined by the product from the continuous torque density and the constant torque revolution range of the electric machine .,The continuous power density is determined by the product of the continuous torque density and the constant torque speed range of the electric machine .,1
The Greek - Cypriot singer and songwriter Andy Paul represented Cyprus with the song `` Anna Maria Lena '' at the Eurovision Song Contest in 1984 in Luxembourg .,Anna Maria Lena is a Greek - Cypriot singer and songwriter who represented Cyprus with the song `` Andy Paul '' in the Eurovision Song Contest 1984 in Luxembourg .,0
In 2012 he began working on the new 52 series '' Batwing `` with the writer Judd Winick and the artists ChrisCross and Marcus To .,"In 2012 , he began work on The New 52 series `` Batwing '' with writer Judd Winick and artists ChrisCross and Marcus To .",1
"From behind bars , Dimitri finds out , Maddie is not Erica 's father and helps Edmund to reunite with his daughter .","From behind bars , Dimitri finds out , Maddie is not Erica 's father and helps Edmund reunite with his daughter .",1
The species can be found from South America to northern Mexico .,This species can be found from South America to northern Mexico .,1
Daniel Rinner ( born 11 November 1990 in Vaduz ) is a Liechtenstein cyclist .,"Daniel Rinner ( born November 11 , 1990 in Liechtenstein ) is a cyclist from Vaduz , Germany .",0
He and Sant Dnyaneshwar were the popular sants and both worshiped Lord Vitthal .,He and Sant Dnyaneshwar were the popular Sants and both revered Lord Vitthal .,1
Titus Geganius Macerinus was a Roman statesman who served as a consul with Publius Minucius Augurinus in 492 BCE .,Publius Minucius Augurinus was a Roman statesman who served as Consul in 492 BC with Titus Geganius Macerinus .,0
"He played Lollapalooza in Chicago in 2007 , and the FuckYeah Festival in Los Angeles in 2008 .",He played in 2007 in Los Angeles Lollapalooza and 2008 at the FuckYeah Festival in Chicago .,0
"He married Agnes Theodora Walther , the daughter of Vilhelm Theodor Walther ) , in 1881 and his son is the botanist and sketch artist Vagn Petersson .","In 1881 he married Agnes Theodora Walther , the daughter of Vilhelm Theodor Walther , and his son is the botanist and outliner of Vagn Petersson .",1
Gopalakrishnan was very much impressed when Bhaskar gave music for his movie `` Mathilukal '' which had no songs at all .,"Gopalakrishnan was very impressed when Bhaskar gave music for his film `` Mathilukal '' , which had no songs at all .",1
"Eoacmaea calamus is a species of sea snail , a true limpet , a marine gastropod mollusk in the family Eoacmaeidae , one of the families of true limpets .","Eoacmaea calamus is a species of sea snail , a true limpet , a true gastropod mollusk in the Eoacmaeidae family , one of the families of the marine limpets .",0
It includes a narrow ilium and long ischium .,It includes a long ilium and a narrow ischium .,0
